a,b
2,44
2,55
2,56
2,58
3,58
4,58
5,58
2,59
3,59
4,59
5,59
2,60
3,60
4,60
5,60
3,62
4,62
4,65
3,143
1,142
2,142
3,142
4,142
5,142
2,158
3,158
3,162
3,166
3,167
3,168
3,169
3,170
3,171
3,172
5,182
5,181
5,180
5,179
5,183
1,184
2,184
3,184
4,184
5,184
1,185
2,185
3,185
4,185
5,185
1,186
2,186
3,186
4,186
5,186
5,187
5,188
1,189
2,189
3,189
1,216
2,218
2,221
3,225
5,225
2,226
2,227
2,228
2,229
3,230
5,230
2,247
2,248
2,249
5,251
1,250
2,250
3,250
4,250
2,255
1,258
2,258
3,258
4,258
1,259
2,259
3,259
4,259
1,253
2,253
3,253
4,253
1,261
