id,text,isAllDay,isRecommended,isSynced,idGoogleEvent,createdAt,updatedAt,endAt,startAt,idType
123,Morning Routine,0,0,0,,2021-12-30 01:34:02.442,2021-12-30 01:34:02.442,2021-12-30 10:00:00,2021-12-30 08:00:00,127
124,Morning Routine,0,0,0,,2021-12-30 01:34:02.49,2021-12-30 01:34:02.49,2021-12-31 10:00:00,2021-12-31 08:00:00,127
125,Morning Routine,0,0,0,,2021-12-30 01:34:02.516,2021-12-30 01:34:02.516,2022-01-01 10:00:00,2022-01-01 08:00:00,127
126,Morning Routine,0,0,0,,2021-12-30 01:34:02.543,2021-12-30 01:34:02.543,2022-01-02 10:00:00,2022-01-02 08:00:00,127
127,Morning Routine,0,0,0,,2021-12-30 01:34:02.573,2021-12-30 01:34:02.573,2022-01-03 10:00:00,2022-01-03 08:00:00,127
128,Morning Routine,0,0,0,,2021-12-30 01:34:02.606,2021-12-30 01:34:02.606,2022-01-04 10:00:00,2022-01-04 08:00:00,127
129,Morning Routine,0,0,0,,2021-12-30 01:34:02.636,2021-12-30 01:34:02.636,2022-01-05 10:00:00,2022-01-05 08:00:00,127
304,Morning Routine,0,0,0,,2022-01-07 18:02:26.462,2022-01-07 18:02:26.462,2022-01-06 10:00:00,2022-01-06 08:00:00,127
305,Morning Routine,0,0,0,,2022-01-07 18:02:26.478,2022-01-07 18:02:26.478,2022-01-07 10:00:00,2022-01-07 08:00:00,127
1163,Morning Joy,0,0,0,,2022-01-08 18:46:05.402,2022-01-08 18:46:05.401,2022-01-10 08:00:00,2022-01-10 06:00:00,125
1164,Morning Joy,0,0,0,,2022-01-08 18:46:05.421,2022-01-08 18:46:05.421,2022-01-11 08:00:00,2022-01-11 06:00:00,125
1165,Morning Joy,0,0,0,,2022-01-08 18:46:05.433,2022-01-08 18:46:05.433,2022-01-12 08:00:00,2022-01-12 06:00:00,125
1166,Morning Joy,0,0,0,,2022-01-08 18:46:05.445,2022-01-08 18:46:05.445,2022-01-13 08:00:00,2022-01-13 06:00:00,125
1167,Morning Joy,0,0,0,,2022-01-08 18:46:05.458,2022-01-08 18:46:05.458,2022-01-14 08:00:00,2022-01-14 06:00:00,125
1168,Morning Joy,0,0,0,,2022-01-08 18:46:05.47,2022-01-08 18:46:05.47,2022-01-17 08:00:00,2022-01-17 06:00:00,125
1169,Morning Joy,0,0,0,,2022-01-08 18:46:05.482,2022-01-08 18:46:05.482,2022-01-18 08:00:00,2022-01-18 06:00:00,125
1170,Morning Joy,0,0,0,,2022-01-08 18:46:05.494,2022-01-08 18:46:05.494,2022-01-19 08:00:00,2022-01-19 06:00:00,125
1171,Morning Joy,0,0,0,,2022-01-08 18:46:05.506,2022-01-08 18:46:05.506,2022-01-20 08:00:00,2022-01-20 06:00:00,125
1172,Morning Joy,0,0,0,,2022-01-08 18:46:05.518,2022-01-08 18:46:05.518,2022-01-21 08:00:00,2022-01-21 06:00:00,125
1173,Morning Joy,0,0,0,,2022-01-08 18:46:05.53,2022-01-08 18:46:05.53,2022-01-24 08:00:00,2022-01-24 06:00:00,125
1174,Morning Joy,0,0,0,,2022-01-08 18:46:05.541,2022-01-08 18:46:05.541,2022-01-25 08:00:00,2022-01-25 06:00:00,125
1175,Morning Joy,0,0,0,,2022-01-08 18:46:05.553,2022-01-08 18:46:05.553,2022-01-26 08:00:00,2022-01-26 06:00:00,125
1176,Morning Joy,0,0,0,,2022-01-08 18:46:05.565,2022-01-08 18:46:05.565,2022-01-27 08:00:00,2022-01-27 06:00:00,125
1177,Morning Joy,0,0,0,,2022-01-08 18:46:05.578,2022-01-08 18:46:05.578,2022-01-28 08:00:00,2022-01-28 06:00:00,125
1178,Morning Joy,0,0,0,,2022-01-08 18:46:05.589,2022-01-08 18:46:05.59,2022-01-31 08:00:00,2022-01-31 06:00:00,125
1179,Morning Joy,0,0,0,,2022-01-08 18:46:05.603,2022-01-08 18:46:05.603,2022-02-01 08:00:00,2022-02-01 06:00:00,125
1180,Morning Joy,0,0,0,,2022-01-08 18:46:05.617,2022-01-08 18:46:05.617,2022-02-02 08:00:00,2022-02-02 06:00:00,125
1181,Morning Joy,0,0,0,,2022-01-08 18:46:05.628,2022-01-08 18:46:05.628,2022-02-03 08:00:00,2022-02-03 06:00:00,125
1182,Morning Joy,0,0,0,,2022-01-08 18:46:05.64,2022-01-08 18:46:05.64,2022-02-04 08:00:00,2022-02-04 06:00:00,125
1183,Morning Joy,0,0,0,,2022-01-08 18:46:05.651,2022-01-08 18:46:05.651,2022-02-07 08:00:00,2022-02-07 06:00:00,125
1184,Morning Joy,0,0,0,,2022-01-08 18:46:05.663,2022-01-08 18:46:05.663,2022-02-08 08:00:00,2022-02-08 06:00:00,125
1185,Morning Joy,0,0,0,,2022-01-08 18:46:05.675,2022-01-08 18:46:05.675,2022-02-09 08:00:00,2022-02-09 06:00:00,125
1186,Morning Joy,0,0,0,,2022-01-08 18:46:05.687,2022-01-08 18:46:05.687,2022-02-10 08:00:00,2022-02-10 06:00:00,125
1187,Morning Joy,0,0,0,,2022-01-08 18:46:05.699,2022-01-08 18:46:05.699,2022-02-11 08:00:00,2022-02-11 06:00:00,125
1188,Morning Joy,0,0,0,,2022-01-08 18:46:05.711,2022-01-08 18:46:05.711,2022-02-14 08:00:00,2022-02-14 06:00:00,125
1189,Morning Joy,0,0,0,,2022-01-08 18:46:05.723,2022-01-08 18:46:05.723,2022-02-15 08:00:00,2022-02-15 06:00:00,125
1190,Morning Joy,0,0,0,,2022-01-08 18:46:05.736,2022-01-08 18:46:05.736,2022-02-16 08:00:00,2022-02-16 06:00:00,125
1191,Morning Joy,0,0,0,,2022-01-08 18:46:05.747,2022-01-08 18:46:05.747,2022-02-17 08:00:00,2022-02-17 06:00:00,125
1192,Morning Joy,0,0,0,,2022-01-08 18:46:05.759,2022-01-08 18:46:05.759,2022-02-18 08:00:00,2022-02-18 06:00:00,125
1193,Morning Joy,0,0,0,,2022-01-08 18:46:05.772,2022-01-08 18:46:05.772,2022-02-21 08:00:00,2022-02-21 06:00:00,125
1194,Morning Joy,0,0,0,,2022-01-08 18:46:05.784,2022-01-08 18:46:05.784,2022-02-22 08:00:00,2022-02-22 06:00:00,125
1195,Morning Joy,0,0,0,,2022-01-08 18:46:05.796,2022-01-08 18:46:05.796,2022-02-23 08:00:00,2022-02-23 06:00:00,125
1196,Morning Joy,0,0,0,,2022-01-08 18:46:05.82,2022-01-08 18:46:05.82,2022-02-24 08:00:00,2022-02-24 06:00:00,125
1197,Morning Joy,0,0,0,,2022-01-08 18:46:05.858,2022-01-08 18:46:05.858,2022-02-25 08:00:00,2022-02-25 06:00:00,125
1198,Morning Joy,0,0,0,,2022-01-08 18:46:05.887,2022-01-08 18:46:05.887,2022-02-28 08:00:00,2022-02-28 06:00:00,125
1199,Morning Joy,0,0,0,,2022-01-08 18:46:05.903,2022-01-08 18:46:05.903,2022-03-01 08:00:00,2022-03-01 06:00:00,125
1200,Morning Joy,0,0,0,,2022-01-08 18:46:05.917,2022-01-08 18:46:05.917,2022-03-02 08:00:00,2022-03-02 06:00:00,125
1201,Morning Joy,0,0,0,,2022-01-08 18:46:05.931,2022-01-08 18:46:05.931,2022-03-03 08:00:00,2022-03-03 06:00:00,125
