id,text,description,isDeleted,createdAt,updatedAt,dateTimeDeleted,isGroup,position
1,Take Bentley for a walk :),NULL,0,2021-07-26 20:06:14.065,2021-07-26 20:06:14.065,NULL,0,NULL
2,Mow the lawn,NULL,0,2021-07-26 21:18:00.326,2021-07-26 21:18:00.326,NULL,0,NULL
35,Music Lessons,NULL,0,2021-07-29 10:38:15.234,2022-01-07 12:39:13.899367,NULL,1,NULL
30,Wash your face,NULL,0,2021-07-29 10:32:03.75,2022-01-07 16:56:18.715638,NULL,0,NULL
28,End shower with cold water,NULL,0,2021-07-29 10:30:22.058,2022-01-05 15:20:21.572972,NULL,0,NULL
17,Maintain hygiene,NULL,0,2021-07-28 19:34:01.418,2022-01-07 17:58:48.622399,NULL,1,NULL
3,Apply for Industriuos position,"Lexi''s Post:
https://www.linkedin.com/feed/update/urn:li:activity:6825476471780327424/

Job Post:
https://boards.greenhouse.io/industrious/jobs/3226229",1,2021-07-26 23:39:51.626,2021-07-26 23:44:15.714593,NULL,0,NULL
46,Get in contact with Sayeed's peeps,NULL,0,2021-07-29 14:07:46.737,2022-04-28 16:23:29.352003,NULL,0,"{'goal_3'"":1}"""
44,Start planning Sayeed's bachelor party,NULL,0,2021-07-29 11:28:08.194,2021-07-29 14:07:46.739672,NULL,0,NULL
13,Breakfast,NULL,0,2021-07-28 18:59:12.573,2022-01-07 17:58:42.086285,NULL,1,NULL
9,Take care of Bentley,NULL,0,2021-07-28 18:57:51.708,2022-01-07 17:58:35.229345,NULL,1,NULL
5,Wellness activities,NULL,0,2021-07-28 14:13:40.671,2022-01-07 17:58:28.861058,NULL,1,NULL
6,Record Inventory,NULL,0,2021-07-28 18:57:00.903,2022-01-05 15:22:40.25767,NULL,0,NULL
8,Dry skin brushing,NULL,0,2021-07-28 18:57:00.903,2022-01-05 15:22:27.865518,NULL,0,NULL
67,Return biapers for mom,NULL,1,2021-08-09 15:17:37.135,2021-08-09 15:19:36.426273,NULL,0,NULL
11,Feed Bentley,NULL,0,2021-07-28 18:57:51.708,2022-04-13 10:19:15.532734,NULL,0,NULL
68,Return diapers for mom,NULL,1,2021-08-09 15:20:18.622,2021-08-09 15:23:17.363758,NULL,0,NULL
19,Brush your teeth,NULL,0,2021-07-28 19:34:01.418,2022-01-07 16:49:51.098286,NULL,0,NULL
15,Record breakfast,NULL,0,2021-07-28 18:59:12.573,2022-01-07 16:43:25.440633,NULL,0,NULL
16,Take medicine,NULL,0,2021-07-28 18:59:12.573,2022-01-07 16:43:29.621485,NULL,0,NULL
92,Look up tactical course,NULL,0,2021-08-15 18:57:47.608,2022-04-28 16:23:31.14318,NULL,0,"{'goal_3'"":2}"""
21,Exercise,NULL,0,2021-07-28 19:35:11.577,2022-01-07 12:37:25.781783,NULL,1,NULL
18,Flo your nase,NULL,0,2021-07-28 19:34:01.418,2022-01-05 15:21:26.094838,NULL,0,NULL
81,Fix curfuffle with plane tickets,NULL,0,2021-08-09 20:53:03.139,2021-08-09 20:53:03.139,NULL,0,NULL
24,Shower,NULL,0,2021-07-28 19:35:26.475,2022-01-07 16:52:01.747107,NULL,0,NULL
82,Buy pre workout,NULL,0,2021-08-09 20:54:04.611,2021-08-09 20:54:04.611,NULL,0,NULL
22,Jog,NULL,0,2021-07-28 19:35:11.577,2022-01-05 15:20:54.928604,NULL,0,NULL
20,Walk Bentley,NULL,0,2021-07-28 19:34:39.504,2022-01-07 16:50:08.425784,NULL,0,NULL
47,Sign-up for mixtape live,https://www.npr.org/mixtape,0,2021-07-29 19:37:51.954,2021-07-29 20:13:10.504398,NULL,0,NULL
48,Replace filters,NULL,0,2021-07-29 21:33:29.784,2021-07-29 21:33:29.784,NULL,0,NULL
49,Saw desk,NULL,1,2021-07-31 14:12:16.465,2021-07-31 14:13:09.968126,NULL,0,NULL
50,Saw desk,NULL,1,2021-07-31 14:14:32.347,2021-07-31 14:40:36.116661,NULL,0,NULL
57,Buy plane ticket,NULL,0,2021-07-31 18:59:03.614,2022-04-28 16:23:31.822111,NULL,0,"{'goal_2'"":1}"""
31,Put on lotion,NULL,0,2021-07-29 10:32:03.75,2022-01-07 16:58:13.602221,NULL,0,NULL
29,Wipe down shower,NULL,0,2021-07-29 10:31:10.711,2022-01-05 15:20:16.183474,NULL,0,NULL
34,Sponge your hair,NULL,1,2021-07-29 10:36:35.193,2021-07-29 10:37:03.180198,NULL,0,NULL
69,Return diapers for mom,NULL,1,2021-08-09 15:23:26.877,2021-08-09 15:26:08.901666,NULL,0,NULL
70,Return diapers for mom,NULL,1,2021-08-09 15:26:13.448,2021-08-09 15:26:36.125828,NULL,0,NULL
71,Return diapers for mom,NULL,1,2021-08-09 15:27:01.155,2021-08-09 15:27:41.669804,NULL,0,NULL
51,Saw desk,NULL,1,2021-07-31 14:40:42.912,2021-07-31 14:47:38.787705,NULL,0,NULL
52,Saw desk,NULL,1,2021-07-31 14:48:05.367,2021-07-31 14:52:15.123907,NULL,0,NULL
53,Saw desk,NULL,1,2021-07-31 14:52:20.563,2021-07-31 14:59:16.39356,NULL,0,NULL
54,Saw desk,NULL,0,2021-07-31 14:59:25.523,2021-07-31 14:59:25.523,NULL,0,NULL
45,Put Mom's bed together,NULL,0,2021-07-29 12:51:50.966,2022-04-28 16:23:38.32178,NULL,0,"{'goal_1'"":3}"""
59,Learn to graphically design people,NULL,0,2021-08-01 11:03:36.975,2021-08-01 11:07:37.297826,NULL,0,NULL
60,Learn to draw people,NULL,0,2021-08-01 11:03:36.975,2021-08-01 11:07:40.808974,NULL,0,NULL
61,Edge lawn,NULL,0,2021-08-01 13:41:59.086,2021-08-01 13:41:59.086,NULL,0,NULL
4,Apply for Industrious position,"Lexi''s Post:
https://www.linkedin.com/feed/update/urn:li:activity:6825476471780327424/

Job Post:
https://boards.greenhouse.io/industrious/jobs/3226229",1,2021-07-26 23:42:45.103,2021-08-05 13:19:52.41754,NULL,0,NULL
62,Watch Soul,NULL,0,2021-08-05 23:42:31.678,2021-08-05 23:42:31.679,NULL,0,NULL
63,Come up with present/project for Josi,NULL,0,2021-08-05 23:43:48.92,2021-08-05 23:43:48.92,NULL,0,NULL
65,BUY DIRTBIKE!,NULL,0,2021-08-05 23:56:06,2021-08-05 23:56:06,NULL,0,NULL
66,Go sky diving!,NULL,0,2021-08-06 00:17:39.797,2021-08-06 00:17:39.797,NULL,0,NULL
33,Put on deodorant,NULL,0,2021-07-29 10:36:07.831,2022-01-07 17:02:43.756409,NULL,0,NULL
39,Mental Exercise,NULL,0,2021-07-29 10:38:48.386,2022-01-07 12:39:19.988044,NULL,1,NULL
36,Aural Skills,NULL,0,2021-07-29 10:38:15.234,2022-01-05 15:19:37.918664,NULL,0,NULL
37,Guitar lessons,NULL,0,2021-07-29 10:38:15.234,2022-01-05 15:19:01.978778,NULL,0,NULL
38,Piano lessons,NULL,0,2021-07-29 10:38:15.234,2022-01-05 15:18:54.375978,NULL,0,NULL
10,Take Bentley out,NULL,0,2021-07-28 18:57:51.708,2022-01-07 17:12:18.515319,NULL,0,NULL
