id,idTodo,idTimeType,idStartTime,idEndTime,createdAt,updatedAt
1,1,80,8,NULL,2021-07-26 20:06:14.066,2021-07-26 20:06:14.066
2,2,80,9,NULL,2021-07-26 21:18:00.327,2021-07-26 21:18:00.327
3,3,80,10,NULL,2021-07-26 23:39:51.782,2021-07-26 23:39:51.782
4,4,80,11,NULL,2021-07-26 23:42:45.104,2021-07-26 23:42:45.104
5,44,80,14,NULL,2021-07-29 11:28:08.194,2021-07-29 11:28:08.194
6,45,80,16,15,2021-07-29 12:53:02.971,2021-07-29 12:53:02.971
7,47,80,17,NULL,2021-07-29 19:37:51.954,2021-07-29 19:37:51.954
8,48,80,18,NULL,2021-07-29 21:33:29.784,2021-07-29 21:33:29.784
9,49,80,19,NULL,2021-07-31 14:12:16.465,2021-07-31 14:12:16.465
10,50,80,20,NULL,2021-07-31 14:14:32.347,2021-07-31 14:14:32.347
11,51,80,21,NULL,2021-07-31 14:40:42.913,2021-07-31 14:40:42.913
12,52,80,22,NULL,2021-07-31 14:48:05.367,2021-07-31 14:48:05.367
13,53,80,23,NULL,2021-07-31 14:52:20.563,2021-07-31 14:52:20.563
14,54,80,24,NULL,2021-07-31 14:59:25.523,2021-07-31 14:59:25.523
15,55,80,NULL,25,2021-07-31 18:44:45.011,2021-07-31 18:44:45.011
16,56,80,26,NULL,2021-07-31 18:46:20.419,2021-07-31 18:46:20.419
17,61,80,27,NULL,2021-08-01 13:41:59.087,2021-08-01 13:41:59.087
18,63,80,29,28,2021-08-05 23:43:48.92,2021-08-05 23:43:48.92
19,66,80,30,NULL,2021-08-06 00:17:39.797,2021-08-06 00:17:39.797
20,67,80,46,NULL,2021-08-09 15:17:37.135,2021-08-09 15:17:37.135
21,68,80,47,NULL,2021-08-09 15:20:18.623,2021-08-09 15:20:18.623
22,69,80,48,NULL,2021-08-09 15:23:26.877,2021-08-09 15:23:26.877
23,70,80,49,NULL,2021-08-09 15:26:13.448,2021-08-09 15:26:13.448
24,71,80,50,NULL,2021-08-09 15:27:01.155,2021-08-09 15:27:01.155
25,72,80,51,NULL,2021-08-09 15:28:15.902,2021-08-09 15:28:15.902
26,73,80,52,NULL,2021-08-09 15:30:13.803,2021-08-09 15:30:13.803
27,74,80,53,NULL,2021-08-09 15:35:15.688,2021-08-09 15:35:15.688
28,75,80,54,NULL,2021-08-09 15:37:00.719,2021-08-09 15:37:00.719
29,76,80,55,NULL,2021-08-09 15:51:17.476,2021-08-09 15:51:17.476
30,77,80,56,NULL,2021-08-09 16:21:49.656,2021-08-09 16:21:49.656
31,78,80,57,NULL,2021-08-09 16:37:22.707,2021-08-09 16:37:22.707
32,79,80,58,NULL,2021-08-09 16:37:27.407,2021-08-09 16:37:27.407
33,80,80,59,NULL,2021-08-09 16:37:51.758,2021-08-09 16:37:51.758
34,81,80,60,NULL,2021-08-09 20:53:03.139,2021-08-09 20:53:03.139
35,82,80,61,NULL,2021-08-09 20:54:04.611,2021-08-09 20:54:04.611
36,83,80,62,NULL,2021-08-09 23:52:36.048,2021-08-09 23:52:36.048
37,85,80,63,NULL,2021-08-11 13:29:28.386,2021-08-11 13:29:28.386
38,86,80,64,NULL,2021-08-11 13:30:43.318,2021-08-11 13:30:43.318
