id,idTodo,idRepeat,lastIterationDateTime,isEventVisible,createdAt,updatedAt,isRecommended
107,17,28,2022-01-05 00:00:00,0,2022-01-07 16:48:33.601,2022-01-07 17:57:36.953501,0
103,13,24,2022-01-05 00:00:00,0,2022-01-07 16:43:04.949,2022-01-07 17:57:38.974643,0
99,5,20,2022-01-05 00:00:00,0,2022-01-07 16:39:46.956,2022-01-07 17:57:40.885008,0
116,10,37,NULL,0,2022-01-07 17:07:26.981,2022-01-07 17:07:26.981,0
123,216,45,2022-05-22 00:00:00,1,2022-03-16 20:41:47.745,2022-03-22 14:53:16.45847,0
118,144,39,2022-05-22 00:00:00,1,2022-01-08 14:25:21.886,2022-03-22 09:22:40.944811,0
117,26,38,2022-05-22 00:00:00,0,2022-01-07 17:13:09.006,2022-03-22 09:22:43.294062,0
119,150,41,2022-05-22 00:00:00,0,2022-01-08 18:09:26.618,2022-03-22 09:22:47.179132,0
120,149,42,2022-05-22 00:00:00,0,2022-01-08 18:09:31.266,2022-03-22 09:22:47.245716,0
122,147,44,2022-05-22 00:00:00,0,2022-01-08 18:09:39.883,2022-03-22 09:22:47.25986,0
112,30,33,2022-05-22 00:00:00,0,2022-01-07 16:56:18.71,2022-03-22 09:22:56.796612,0
111,27,32,2022-05-22 00:00:00,0,2022-01-07 16:52:20.809,2022-03-22 09:22:56.807619,0
115,33,36,2022-05-22 00:00:00,0,2022-01-07 17:02:43.751,2022-03-22 09:22:56.825505,0
105,15,26,2022-05-22 00:00:00,0,2022-01-07 16:43:25.435,2022-03-22 09:22:56.835845,0
101,11,22,2022-05-22 00:00:00,0,2022-01-07 16:42:42.131,2022-03-22 09:22:56.845262,0
110,24,31,2022-05-22 00:00:00,0,2022-01-07 16:52:01.741,2022-03-22 09:22:56.881999,0
109,20,30,2022-05-22 00:00:00,0,2022-01-07 16:50:08.42,2022-03-22 09:22:56.913828,0
124,258,48,2022-05-04 00:00:00,0,2022-04-28 11:15:21.653,2022-04-28 11:24:03.018556,0
126,259,50,2022-05-04 00:00:00,0,2022-04-28 12:26:54.36,2022-04-28 12:34:42.651515,0
127,261,51,2022-05-13 00:00:00,1,2022-05-06 20:32:00.912,2022-05-06 20:57:23.052442,0
125,258,49,NULL,0,2022-04-28 11:16:00.514,2022-04-28 11:16:00.514,0
100,9,21,2022-01-05 00:00:00,0,2022-01-07 16:41:44.517,2022-01-07 17:57:40.420384,0
121,148,43,2022-05-22 00:00:00,0,2022-01-08 18:09:35.75,2022-03-22 09:22:47.232988,0
104,14,25,2022-05-22 00:00:00,0,2022-01-07 16:43:17.351,2022-03-22 09:22:56.79764,0
114,32,35,2022-05-22 00:00:00,0,2022-01-07 16:58:33.188,2022-03-22 09:22:56.808713,0
106,16,27,2022-05-22 00:00:00,0,2022-01-07 16:43:29.616,2022-03-22 09:22:56.89536,0
102,12,23,2022-05-22 00:00:00,0,2022-01-07 16:42:57.464,2022-03-22 09:22:56.897039,0
113,31,34,2022-05-22 00:00:00,0,2022-01-07 16:58:13.596,2022-03-22 09:22:56.910897,0
108,19,29,2022-05-22 00:00:00,0,2022-01-07 16:49:51.092,2022-03-22 09:22:56.918561,0
