a,b
1,2
2,2
3,2
4,3
4,4
4,5
4,2
5,2
13,1
13,2
13,3
13,4
13,5
14,1
14,2
14,3
14,4
14,5
15,1
15,2
15,3
15,4
15,5
16,3
17,1
17,2
17,3
17,4
17,5
20,1
20,3
21,1
21,2
21,3
24,3
22,1
22,2
22,3
23,1
23,2
23,3
25,2
26,1
26,3
26,4
27,5
28,5
29,5
30,1
30,2
30,3
31,3
32,2
33,3
34,5
35,3
35,5
36,5
37,5
38,5
39,1
39,3
40,2
43,5
44,3
44,4
44,5
42,2
47,3
47,5
27,3
48,5
45,2
49,3
49,4
6,3
6,5
50,1
50,2
50,3
50,4
51,5
52,5
53,5
54,5
55,3
56,3
57,3
58,3
59,3
59,4
60,3
61,3
62,3
63,3
64,3
65,3
66,3
67,3
68,3
69,3
70,3
71,3
72,3
73,3
74,3
75,3
76,4
78,4
79,4
80,4
81,4
82,4
83,4
84,4
85,2
86,2
87,2
88,2
77,4
89,2
90,2
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,2
101,2
102,1
103,1
104,1
105,1
106,1
107,1
108,1
109,1
110,1
111,1
112,1
113,1
114,1
115,1
116,1
117,1
118,1
119,1
120,1
