A|B
1|25
1|26
1|45
3|46
1|55
1|56
2|57
4|58
5|64
1|90
3|92
6|94
7|95
8|98
8|99
12|132
12|133
12|134
12|135
14|142
16|143
32|159
33|160
33|161
33|162
34|163
34|164
36|165
37|179
37|180
37|181
37|182
29|187
29|188
42|202
42|207
38|215
1|217
1|218
1|219
27|220
1|221
46|222
47|223
47|224
27|225
1|226
1|227
1|228
45|229
48|183
48|203
48|204
48|205
48|206
48|211
48|212
48|213
48|214
48|233
27|230
1|234
1|235
1|236
1|245
1|246
1|247
1|248
1|249
48|251
50|253
50|254
1|255
50|250
50|258
50|259
118|261
105|261
