id,text,isRecommended,idGoogleTask,idGoogleTaskList,createdAt,updatedAt,attemptedAt,completedAt,endAt,startAt,idRepeat,idRoutineIteration,idRoutineRepeat,idTodoRepeat,idRoutine,idTodo,idTodoTimePair
32741,[Attempted] Replace powder room sink faucet,0,NULL,NULL,2022-03-26 09:41:54.322,2022-04-20 14:38:33.203784,2022-03-24 00:00:00,NULL,2022-03-24 00:00:00,2022-03-24 00:00:00,NULL,NULL,NULL,NULL,NULL,221,145
3360,Start time-blocking,0,NULL,NULL,2021-08-21 00:52:04.401,2022-01-05 10:44:47.523206,NULL,NULL,NULL,2021-08-21 00:00:00,NULL,NULL,NULL,NULL,NULL,100,NULL
23972,"Create work-items / action items / goals & todos to practice advice from 'You Are a Badass'""",0,NULL,NULL,2022-01-08 13:04:45.255,2022-04-20 14:38:33.119004,NULL,NULL,2022-01-31 00:00:00,2022-01-13 00:00:00,NULL,NULL,NULL,NULL,NULL,142,88
3298,Return biapers for mom,0,NULL,NULL,2021-08-09 15:17:37.135,2022-01-05 10:44:47.540302,NULL,NULL,NULL,2021-08-09 00:00:00,NULL,NULL,NULL,NULL,NULL,67,NULL
3319,Get book on birth charts,0,NULL,NULL,2021-08-11 13:57:41.578,2022-04-20 14:38:33.028103,2021-08-12 11:15:35,2021-08-12 11:15:35,NULL,2021-08-11 00:00:00,NULL,NULL,NULL,NULL,NULL,87,39
7096,Morning Routine,0,NULL,NULL,2021-12-23 13:07:30.511,2022-01-05 10:48:01.559604,NULL,NULL,2021-12-23 00:00:00,2021-12-23 00:00:00,NULL,NULL,NULL,NULL,1,NULL,NULL
7097,Morning Routine,0,NULL,NULL,2021-12-23 13:07:30.527,2022-01-05 10:48:01.559604,NULL,NULL,2021-12-24 00:00:00,2021-12-24 00:00:00,NULL,NULL,NULL,NULL,1,NULL,NULL
7098,Morning Routine,0,NULL,NULL,2021-12-23 13:07:30.537,2022-01-05 10:48:01.559604,NULL,NULL,2021-12-25 00:00:00,2021-12-25 00:00:00,NULL,NULL,NULL,NULL,1,NULL,NULL
7099,Morning Routine,0,NULL,NULL,2021-12-23 13:07:30.544,2022-01-05 10:48:01.559604,NULL,NULL,2021-12-26 00:00:00,2021-12-26 00:00:00,NULL,NULL,NULL,NULL,1,NULL,NULL
7100,Morning Routine,0,NULL,NULL,2021-12-23 13:07:30.55,2022-01-05 10:48:01.559604,NULL,NULL,2021-12-27 00:00:00,2021-12-27 00:00:00,NULL,NULL,NULL,NULL,1,NULL,NULL
7080,Bath Bentley,0,NULL,NULL,2021-12-23 13:07:22.354,2022-01-05 10:44:47.538364,NULL,NULL,2021-12-23 00:00:00,2021-12-23 00:00:00,NULL,NULL,NULL,NULL,NULL,73,NULL
2097,Spanish lessons,0,NULL,NULL,2021-08-09 14:21:02.06,2022-01-05 10:44:47.553399,NULL,NULL,2021-08-09 00:00:00,2021-08-09 00:00:00,NULL,84,NULL,NULL,NULL,42,NULL
2144,Spanish lessons,0,NULL,NULL,2021-08-09 14:31:34.399,2022-01-05 10:44:47.553399,NULL,NULL,2021-08-23 00:00:00,2021-08-23 00:00:00,NULL,91,NULL,NULL,NULL,42,NULL
28583,Floss,0,NULL,NULL,2022-01-08 18:46:03.46,2022-01-14 14:02:36.392725,NULL,NULL,2022-01-10 00:00:00,2022-01-10 00:00:00,NULL,1021,NULL,41,NULL,150,NULL
28665,Wash face,0,NULL,NULL,2022-01-08 18:46:04.268,2022-01-13 13:18:17.034772,2022-01-13 13:18:17,2022-01-13 13:18:17,2022-01-12 00:00:00,2022-01-12 00:00:00,NULL,1023,NULL,43,NULL,148,NULL
28667,Wash face,0,NULL,NULL,2022-01-08 18:46:04.282,2022-01-15 08:43:59.042086,2022-01-15 08:43:59,2022-01-15 08:43:59,2022-01-14 00:00:00,2022-01-14 00:00:00,NULL,1025,NULL,43,NULL,148,NULL
28605,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.736,2022-01-13 13:18:17.870724,2022-01-13 13:18:17,2022-01-13 13:18:17,2022-01-12 00:00:00,2022-01-12 00:00:00,NULL,1023,NULL,42,NULL,149,NULL
28609,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.762,2022-01-17 10:32:08.746076,2022-01-17 10:32:08,2022-01-17 10:32:08,2022-01-16 00:00:00,2022-01-16 00:00:00,NULL,1027,NULL,42,NULL,149,NULL
28607,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.749,2022-01-15 08:44:00.366589,2022-01-15 08:44:00,2022-01-15 08:44:00,2022-01-14 00:00:00,2022-01-14 00:00:00,NULL,1025,NULL,42,NULL,149,NULL
28669,Wash face,0,NULL,NULL,2022-01-08 18:46:04.295,2022-01-17 10:32:09.990128,2022-01-17 10:32:09,2022-01-17 10:32:09,2022-01-16 00:00:00,2022-01-16 00:00:00,NULL,1027,NULL,43,NULL,148,NULL
28585,Floss,0,NULL,NULL,2022-01-08 18:46:03.499,2022-01-17 11:33:07.416476,2022-01-17 11:33:07,2022-01-17 11:33:07,2022-01-17 00:00:00,2022-01-17 00:00:00,NULL,1028,NULL,41,NULL,150,NULL
28673,Wash face,0,NULL,NULL,2022-01-08 18:46:04.321,2022-01-24 10:44:36.06839,2022-01-24 10:44:36,2022-01-24 10:44:36,2022-01-20 00:00:00,2022-01-20 00:00:00,NULL,1031,NULL,43,NULL,148,NULL
28611,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.775,2022-01-08 18:46:22.440244,NULL,NULL,2022-01-18 00:00:00,2022-01-18 00:00:00,NULL,1029,NULL,42,NULL,149,NULL
28671,Wash face,0,NULL,NULL,2022-01-08 18:46:04.308,2022-01-19 09:16:54.405162,NULL,NULL,2022-01-18 00:00:00,2022-01-18 00:00:00,NULL,1029,NULL,43,NULL,148,NULL
28679,Wash face,0,NULL,NULL,2022-01-08 18:46:04.372,2022-01-27 13:14:33.733366,2022-01-27 13:14:33,2022-01-27 13:14:33,2022-01-26 00:00:00,2022-01-26 00:00:00,NULL,1037,NULL,43,NULL,148,NULL
28613,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.789,2022-01-24 10:44:37.033229,2022-01-24 10:44:37,2022-01-24 10:44:37,2022-01-20 00:00:00,2022-01-20 00:00:00,NULL,1031,NULL,42,NULL,149,NULL
28615,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.804,2022-01-08 18:46:22.469911,NULL,NULL,2022-01-22 00:00:00,2022-01-22 00:00:00,NULL,1033,NULL,42,NULL,149,NULL
28675,Wash face,0,NULL,NULL,2022-01-08 18:46:04.335,2022-01-08 18:46:22.469911,NULL,NULL,2022-01-22 00:00:00,2022-01-22 00:00:00,NULL,1033,NULL,43,NULL,148,NULL
28587,Floss,0,NULL,NULL,2022-01-08 18:46:03.513,2022-01-08 18:46:22.484086,NULL,NULL,2022-01-24 00:00:00,2022-01-24 00:00:00,NULL,1035,NULL,41,NULL,150,NULL
28683,Wash face,0,NULL,NULL,2022-01-08 18:46:04.401,2022-01-31 11:34:54.993341,2022-01-31 11:34:54,2022-01-31 11:34:54,2022-01-30 00:00:00,2022-01-30 00:00:00,NULL,1041,NULL,43,NULL,148,NULL
28619,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.831,2022-01-27 13:14:35.043123,2022-01-27 13:14:35,2022-01-27 13:14:35,2022-01-26 00:00:00,2022-01-26 00:00:00,NULL,1037,NULL,42,NULL,149,NULL
28621,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.846,2022-01-08 18:46:22.560859,NULL,NULL,2022-01-28 00:00:00,2022-01-28 00:00:00,NULL,1039,NULL,42,NULL,149,NULL
28681,Wash face,0,NULL,NULL,2022-01-08 18:46:04.387,2022-01-08 18:46:22.560859,NULL,NULL,2022-01-28 00:00:00,2022-01-28 00:00:00,NULL,1039,NULL,43,NULL,148,NULL
28625,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.884,2022-02-03 12:22:13.769404,2022-02-03 12:22:13,2022-02-03 12:22:13,2022-02-01 00:00:00,2022-02-01 00:00:00,NULL,1043,NULL,42,NULL,149,NULL
28623,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.865,2022-01-31 11:34:57.122778,2022-01-31 11:34:57,2022-01-31 11:34:57,2022-01-30 00:00:00,2022-01-30 00:00:00,NULL,1041,NULL,42,NULL,149,NULL
28589,Floss,0,NULL,NULL,2022-01-08 18:46:03.527,2022-01-08 18:46:22.57907,NULL,NULL,2022-01-31 00:00:00,2022-01-31 00:00:00,NULL,1042,NULL,41,NULL,150,NULL
3321,[Attempted] Watch course on design composition,0,NULL,NULL,2021-08-11 13:58:25.53,2021-08-11 23:13:07.033813,2021-08-11 00:00:00,NULL,NULL,2021-08-11 00:00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL
28687,Wash face,0,NULL,NULL,2022-01-08 18:46:04.429,2022-02-04 08:37:25.526602,2022-02-04 08:37:25,2022-02-04 08:37:25,2022-02-03 00:00:00,2022-02-03 00:00:00,NULL,1045,NULL,43,NULL,148,NULL
28685,Wash face,0,NULL,NULL,2022-01-08 18:46:04.415,2022-01-08 18:46:22.584984,NULL,NULL,2022-02-01 00:00:00,2022-02-01 00:00:00,NULL,1043,NULL,43,NULL,148,NULL
28689,Wash face,0,NULL,NULL,2022-01-08 18:46:04.444,2022-02-06 16:26:50.456404,2022-02-06 16:26:50,2022-02-06 16:26:50,2022-02-05 00:00:00,2022-02-05 00:00:00,NULL,1047,NULL,43,NULL,148,NULL
28629,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.911,2022-02-06 16:26:51.189598,2022-02-06 16:26:51,2022-02-06 16:26:51,2022-02-05 00:00:00,2022-02-05 00:00:00,NULL,1047,NULL,42,NULL,149,NULL
28631,Spray hair,0,NULL,NULL,2022-01-08 18:46:03.924,2022-02-09 11:56:18.899852,2022-02-09 11:56:18,2022-02-09 11:56:18,2022-02-07 00:00:00,2022-02-07 00:00:00,NULL,1049,NULL,42,NULL,149,NULL
28695,Wash face,0,NULL,NULL,2022-01-08 18:46:04.488,2022-02-13 10:55:36.8362,2022-02-13 10:55:36,2022-02-13 10:55:36,2022-02-11 00:00:00,2022-02-11 00:00:00,NULL,1053,NULL,43,NULL,148,NULL
