id,idChild,idParent,json,position,isVisible,isActive,createdAt,updatedAt
1,6,1,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
2,7,1,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
3,8,1,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
4,9,1,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
5,10,1,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
6,11,1,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
7,12,2,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
8,13,2,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
9,14,2,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
10,15,2,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
11,16,3,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
12,17,3,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
13,18,3,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
14,19,4,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
15,20,4,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
16,21,4,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
17,22,5,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
18,23,5,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
19,24,5,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
20,25,5,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
21,26,5,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
22,27,5,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
23,28,5,,,0,0,2020-03-17 16:21:30,2020-03-17 16:21:30
24,2,29,,1,1,1,,
25,30,29,,2,1,1,,
26,31,29,,3,1,1,,
27,32,29,,4,1,1,,
28,33,29,,5,1,1,,
